level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	13000	16080	-1	
2	1	1	0	0	0	5916	192	156	48	-1	
3	1	1	1	0	0	5916	192	156	48	-1	
4	1	1	1	1	0	5916	192	156	48	-1	
5	1	1	1	1	1	5916	192	156	48	85.990768	lll
2	1	2	0	0	0	1748	372	3036	284	-1	
3	1	2	1	0	0	1748	372	3036	284	-1	
4	1	2	1	1	0	1748	372	3036	284	-1	
5	1	2	1	1	1	1748	588	260	68	48.994579	P
5	1	2	1	1	2	3122	372	318	304	28.274641	Y
5	1	2	1	1	3	3678	372	186	284	17.868118	Y
5	1	2	1	1	4	4076	372	212	284	20.911240	Y
5	1	2	1	1	5	4500	368	292	318	19.054050	Yy
2	1	3	0	0	0	6504	364	4524	304	-1	
3	1	3	1	0	0	6504	364	4524	304	-1	
4	1	3	1	1	0	6504	364	4524	304	-1	
5	1	3	1	1	1	6504	364	4524	304	60.970646	Mﬁlﬁlﬁlﬁlﬁlﬁlﬁlﬁ
2	1	4	0	0	0	1748	608	3036	356	-1	
3	1	4	1	0	0	1748	608	3036	356	-1	
4	1	4	1	1	0	1748	608	3036	356	-1	
5	1	4	1	1	1	1748	588	576	356	24.689831	I
5	1	4	1	1	2	3499	608	390	356	0.000000	5
5	1	4	1	1	3	4051	584	228	390	0.000000	EN
5	1	4	1	1	4	4474	608	293	336	6.031561	B
2	1	5	0	0	0	1800	876	524	68	-1	
3	1	5	1	0	0	1800	876	524	68	-1	
4	1	5	1	1	0	1800	876	524	68	-1	
5	1	5	1	1	1	1800	896	27	48	42.435295	I
5	1	5	1	1	2	1857	896	77	48	35.192398	I
5	1	5	1	1	3	2041	896	100	48	7.294664	—
2	1	6	0	0	0	6560	600	4468	336	-1	
3	1	6	1	0	0	6560	600	4468	336	-1	
4	1	6	1	1	0	6560	600	4468	336	-1	
5	1	6	1	1	1	6560	600	1076	356	0.000000	IR
5	1	6	1	1	2	8190	652	438	284	12.156200	PN
5	1	6	1	1	3	9053	652	186	284	1.859541	R
5	1	6	1	1	4	9423	652	217	284	0.000000	E
5	1	6	1	1	5	9824	652	408	284	0.000000	e
5	1	6	1	1	6	10718	652	309	284	19.411469	e
2	1	7	0	0	0	1800	896	2984	284	-1	
3	1	7	1	0	0	1800	896	2984	284	-1	
4	1	7	1	1	0	1800	896	2984	284	-1	
5	1	7	1	1	1	1800	896	2984	336	0.000000	NS
2	1	8	0	0	0	6716	888	4312	336	-1	
3	1	8	1	0	0	6716	888	4312	336	-1	
4	1	8	1	1	0	6716	888	4312	336	-1	
5	1	8	1	1	1	6560	868	4468	376	0.077229	IR
5	1	8	1	1	2	8181	864	228	390	33.173744	PN
5	1	8	1	1	3	8603	864	261	390	14.356041	PN
5	1	8	1	1	4	9091	864	228	390	6.599560	N
5	1	8	1	1	5	9481	864	260	390	3.680210	PN
5	1	8	1	1	6	9903	864	163	390	11.896992	B
5	1	8	1	1	7	10326	864	228	390	11.613026	BN
5	1	8	1	1	8	10781	864	228	390	0.000000	D
2	1	9	0	0	0	2012	1164	1128	88	-1	
3	1	9	1	0	0	2012	1164	1128	88	-1	
4	1	9	1	1	0	2012	1164	1128	88	-1	
5	1	9	1	1	1	2012	1164	1128	88	0.000000	T
2	1	10	0	0	0	3568	1184	1216	48	-1	
3	1	10	1	0	0	3568	1184	1216	48	-1	
4	1	10	1	1	0	3568	1184	1216	48	-1	
5	1	10	1	1	1	3568	1184	194	48	8.993349	.
2	1	11	0	0	0	1588	1184	3196	336	-1	
3	1	11	1	0	0	1588	1184	3196	336	-1	
4	1	11	1	1	0	1588	1184	3196	336	-1	
5	1	11	1	1	1	1588	1184	3196	356	0.548477	IS
5	1	11	1	1	2	4328	1180	463	370	0.000000	S
2	1	12	0	0	0	1748	1472	576	48	-1	
3	1	12	1	0	0	1748	1472	576	48	-1	
4	1	12	1	1	0	1748	1472	576	48	-1	
5	1	12	1	1	1	1748	1472	80	48	20.200968	(I
5	1	12	1	1	2	1858	1468	72	72	37.434696	I
5	1	12	1	1	3	2014	1472	84	48	17.050505	AN
5	1	12	1	1	4	2236	1472	88	48	48.784843	N
2	1	13	0	0	0	6560	1176	4468	336	-1	
