level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	40	1	1	20	10102	3260	186	232	36.156712	P
5	1	40	1	1	21	10526	3260	345	232	54.190308	P
2	1	41	0	0	0	1304	2884	472	672	-1	
3	1	41	1	0	0	1304	2884	472	672	-1	
4	1	41	1	1	0	1304	2884	472	672	-1	
5	1	41	1	1	1	1304	2884	472	672	44.507008	It
2	1	42	0	0	0	1852	3548	148	192	-1	
3	1	42	1	0	0	1852	3548	148	192	-1	
4	1	42	1	1	0	1852	3548	148	192	-1	
5	1	42	1	1	1	1852	3548	148	192	77.823021	II
2	1	43	0	0	0	2448	3548	8424	232	-1	
3	1	43	1	0	0	2448	3548	8424	232	-1	
4	1	43	1	1	0	2448	3548	8424	232	-1	
5	1	43	1	1	1	2444	3544	159	318	0.000000	C
5	1	43	1	1	2	2682	3548	80	232	0.000000	A
5	1	43	1	1	3	2894	3548	186	232	0.000000	P
5	1	43	1	1	4	3318	3548	186	232	0.000000	P
5	1	43	1	1	5	3742	3548	186	232	15.597067	P
5	1	43	1	1	6	4166	3548	186	232	4.316940	P
5	1	43	1	1	7	4590	3548	186	232	0.000000	P
5	1	43	1	1	8	5014	3548	186	232	0.000000	P
5	1	43	1	1	9	5438	3548	186	232	6.474380	P
5	1	43	1	1	10	5862	3548	186	232	1.167688	P
5	1	43	1	1	11	6286	3548	213	232	10.407028	P
5	1	43	1	1	12	6710	3548	186	232	4.814310	P
5	1	43	1	1	13	7134	3548	213	232	17.146997	P
5	1	43	1	1	14	7558	3548	213	232	3.512058	P
5	1	43	1	1	15	7982	3548	213	232	18.319492	P
5	1	43	1	1	16	8406	3548	213	232	27.640266	P
5	1	43	1	1	17	8830	3548	213	232	34.278584	P
5	1	43	1	1	18	9254	3548	319	232	37.975174	Pl
5	1	43	1	1	19	9678	3548	186	232	31.826378	P
5	1	43	1	1	20	10102	3548	186	232	36.156712	P
5	1	43	1	1	21	10526	3548	345	232	54.190308	P
2	1	44	0	0	0	1356	3644	220	284	-1	
3	1	44	1	0	0	1356	3644	220	284	-1	
4	1	44	1	1	0	1356	3644	220	284	-1	
5	1	44	1	1	1	1356	3644	220	284	40.325222	i
2	1	45	0	0	0	1356	3932	220	100	-1	
3	1	45	1	0	0	1356	3932	220	100	-1	
4	1	45	1	1	0	1356	3932	220	100	-1	
5	1	45	1	1	1	1356	3932	220	100	22.511543	il
2	1	46	0	0	0	2448	3836	8424	232	-1	
3	1	46	1	0	0	2448	3836	8424	232	-1	
4	1	46	1	1	0	2448	3836	8424	232	-1	
5	1	46	1	1	1	2444	3832	159	318	0.000000	C
5	1	46	1	1	2	2682	3836	80	232	0.000000	A
5	1	46	1	1	3	2894	3836	186	232	0.000000	P
5	1	46	1	1	4	3318	3836	186	232	0.000000	P
5	1	46	1	1	5	3742	3836	186	232	15.597067	P
5	1	46	1	1	6	4166	3836	186	232	4.316940	P
5	1	46	1	1	7	4590	3836	186	232	0.000000	P
5	1	46	1	1	8	5014	3836	186	232	0.000000	P
5	1	46	1	1	9	5438	3836	186	232	6.474380	P
5	1	46	1	1	10	5862	3836	186	232	1.167688	P
5	1	46	1	1	11	6286	3836	213	232	10.407028	P
5	1	46	1	1	12	6710	3836	186	232	4.814310	P
5	1	46	1	1	13	7134	3836	213	232	17.146997	P
5	1	46	1	1	14	7558	3836	213	232	3.512058	P
5	1	46	1	1	15	7982	3836	213	232	18.319492	P
5	1	46	1	1	16	8406	3836	213	232	27.640266	P
5	1	46	1	1	17	8830	3836	213	232	34.278584	P
5	1	46	1	1	18	9254	3836	319	232	37.975174	Pl
5	1	46	1	1	19	9678	3836	186	232	31.826378	P
5	1	46	1	1	20	10102	3836	186	232	36.156712	P
5	1	46	1	1	21	10526	3836	345	232	54.190308	P
2	1	47	0	0	0	2448	4124	8424	232	-1	
3	1	47	1	0	0	2448	4124	8424	232	-1	
4	1	47	1	1	0	2448	4124	8424	232	-1	
5	1	47	1	1	1	2444	4120	159	318	0.000000	C
5	1	47	1	1	2	2682	4124	80	232	0.000000	A
5	1	47	1	1	3	2894	4124	186	232	0.000000	P
5	1	47	1	1	4	3318	4124	186	232	0.000000	P
5	1	47	1	1	5	3742	4124	186	232	15.597067	P
5	1	47	1	1	6	4166	4124	186	232	4.316940	P
5	1	47	1	1	7	4590	4124	186	232	0.000000	P
5	1	47	1	1	8	5014	4124	186	232	0.000000	P
5	1	47	1	1	9	5438	4124	186	232	6.474380	P
5	1	47	1	1	10	5862	4124	186	232	1.167688	P
5	1	47	1	1	11	6286	4124	213	232	10.407028	P
5	1	47	1	1	12	6710	4124	186	232	4.814310	P
5	1	47	1	1	13	7134	4124	213	232	17.146997	P
5	1	47	1	1	14	7558	4124	213	232	3.512058	P
5	1	47	1	1	15	7982	4124	213	232	18.319492	P
5	1	47	1	1	16	8406	4124	213	232	27.640266	P
5	1	47	1	1	17	8830	4124	213	232	34.278584	P
5	1	47	1	1	18	9254	4124	319	232	37.975174	Pl
5	1	47	1	1	19	9678	4124	186	232	31.826378	P
5	1	47	1	1	20	10102	4124	186	232	36.156712	P
5	1	47	1	1	21	10526	4124	345	232	54.190308	P
2	1	48	0	0	0	2448	4412	8424	232	-1	
3	1	48	1	0	0	2448	4412	8424	232	-1	
4	1	48	1	1	0	2448	4412	8424	232	-1	
5	1	48	1	1	1	2444	4408	159	318	0.000000	C
5	1	48	1	1	2	2682	4412	80	284	0.000000	A
5	1	48	1	1	3	2894	4412	186	284	0.000000	P
5	1	48	1	1	4	3318	4412	186	284	0.000000	P
5	1	48	1	1	5	3742	4412	186	284	15.597067	P
5	1	48	1	1	6	4166	4412	186	284	4.316940	P
5	1	48	1	1	7	4590	4412	186	284	0.000000	P
5	1	48	1	1	8	5014	4412	186	284	0.000000	P
5	1	48	1	1	9	5438	4412	186	284	6.474380	P
5	1	48	1	1	10	5862	4412	186	284	1.167688	P
5	1	48	1	1	11	6286	4412	213	284	10.407028	P
5	1	48	1	1	12	6710	4412	186	284	4.814310	P
5	1	48	1	1	13	7134	4412	213	284	17.146997	P
5	1	48	1	1	14	7558	4412	213	284	3.512058	P
5	1	48	1	1	15	7982	4412	213	284	18.319492	P
5	1	48	1	1	16	8406	4412	213	284	27.640266	P
5	1	48	1	1	17	8830	4412	213	284	34.278584	P
5	1	48	1	1	18	9254	4412	319	284	37.975174	Pl
5	1	48	1	1	19	9678	4412	186	284	31.826378	P
5	1	48	1	1	20	10102	4412	186	284	36.156712	P
5	1	48	1	1	21	10526	4412	345	284	54.190308	P
2	1	49	0	0	0	1304	4036	304	652	-1	
3	1	49	1	0	0	1304	4036	304	652	-1	
4	1	49	1	1	0	1304	4036	304	652	-1	
5	1	49	1	1	1	1304	4036	304	652	81.663284	|
2	1	50	0	0	0	1252	4692	356	100	-1	
3	1	50	1	0	0	1252	4692	356	100	-1	
4	1	50	1	1	0	1252	4692	356	100	-1	
5	1	50	1	1	1	1252	4692	356	100	19.316311	B
2	1	51	0	0	0	2448	4700	8424	232	-1	
3	1	51	1	0	0	2448	4700	8424	232	-1	
4	1	51	1	1	0	2448	4700	8424	232	-1	
5	1	51	1	1	1	2448	4648	675	284	23.425798	oo
5	1	51	1	1	2	3338	4648	155	284	19.118891	P
