level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	13000	11040	-1	
2	1	1	0	0	0	71	527	66	42	-1	
3	1	1	1	0	0	71	527	66	42	-1	
4	1	1	1	1	0	71	527	66	42	-1	
5	1	1	1	1	1	71	527	66	42	85.741951	DO
2	1	2	0	0	0	1852	380	9020	232	-1	
3	1	2	1	0	0	1852	380	9020	232	-1	
4	1	2	1	1	0	1852	380	9020	232	-1	
5	1	2	1	1	1	1852	380	897	284	0.257730	ISt
5	1	2	1	1	2	2908	380	265	284	5.016470	et
5	1	2	1	1	3	3385	380	186	284	10.975933	e
5	1	2	1	1	4	3756	380	239	284	4.481516	et
5	1	2	1	1	5	4180	380	239	284	1.694412	et
5	1	2	1	1	6	4657	380	186	284	13.025150	e
5	1	2	1	1	7	5081	380	186	284	11.403370	e
5	1	2	1	1	8	5505	380	186	284	12.486095	e
5	1	2	1	1	9	5929	380	186	284	10.565138	e
5	1	2	1	1	10	6300	380	212	284	13.021889	e
5	1	2	1	1	11	6724	380	212	284	15.314655	e
5	1	2	1	1	12	7148	380	212	284	8.641548	e
5	1	2	1	1	13	7545	380	213	284	21.214775	e
5	1	2	1	1	14	7996	380	212	284	18.750219	e
5	1	2	1	1	15	8420	380	212	284	20.362206	e
5	1	2	1	1	16	8844	380	212	284	20.296383	e
5	1	2	1	1	17	9268	380	212	284	27.897863	e
5	1	2	1	1	18	9692	380	212	284	28.314625	e
5	1	2	1	1	19	10116	380	212	284	31.089621	e
2	1	3	0	0	0	12735	647	202	42	-1	
3	1	3	1	0	0	12735	647	202	42	-1	
4	1	3	1	1	0	12735	647	202	42	-1	
5	1	3	1	1	1	12735	651	38	38	66.146095	a
5	1	3	1	1	2	12799	647	138	42	34.800064	ouUTo
2	1	4	0	0	0	71	667	77	106	-1	
3	1	4	1	0	0	71	667	77	106	-1	
4	1	4	1	1	0	71	667	77	106	-1	
5	1	4	1	1	1	71	667	77	106	60.774864	l—i
2	1	5	0	0	0	1812	668	188	236	-1	
3	1	5	1	0	0	1812	668	188	236	-1	
4	1	5	1	1	0	1812	668	188	236	-1	
5	1	5	1	1	1	1812	668	188	236	4.429464	Jf
2	1	6	0	0	0	2448	668	8424	232	-1	
3	1	6	1	0	0	2448	668	8424	232	-1	
4	1	6	1	1	0	2448	668	8424	232	-1	
5	1	6	1	1	1	2448	616	305	336	0.676661	N
5	1	6	1	1	2	2906	616	478	336	0.000000	BN
5	1	6	1	1	3	3985	616	433	336	5.012093	RN
5	1	6	1	1	4	4602	616	386	336	0.000000	B
5	1	6	1	1	5	5527	616	186	336	0.000000	R
5	1	6	1	1	6	5897	616	217	336	4.601202	RN
5	1	6	1	1	7	6298	616	386	336	0.000000	B
5	1	6	1	1	8	7161	616	186	336	15.867176	R
5	1	6	1	1	9	7593	616	216	336	3.061590	RS
5	1	6	1	1	10	8055	616	186	336	0.525074	R
5	1	6	1	1	11	8487	616	186	336	0.000000	R
5	1	6	1	1	12	8857	616	155	336	0.000000	R
5	1	6	1	1	13	9289	616	216	336	5.891743	RS
5	1	6	1	1	14	9751	616	186	336	0.000000	N
5	1	6	1	1	15	10152	616	217	336	0.000000	R
2	1	7	0	0	0	12251	451	481	442	-1	
3	1	7	1	0	0	12251	451	481	442	-1	
4	1	7	1	1	0	12251	451	481	442	-1	
5	1	7	1	1	1	12251	451	481	442	13.687410	it
2	1	8	0	0	0	2448	956	8424	232	-1	
3	1	8	1	0	0	2448	956	8424	232	-1	
4	1	8	1	1	0	2448	956	8424	232	-1	
5	1	8	1	1	1	2448	904	305	284	0.676661	N
5	1	8	1	1	2	2906	904	386	284	0.000000	BN
5	1	8	1	1	3	3985	904	433	284	5.012093	RN
5	1	8	1	1	4	4602	904	386	284	0.000000	B
5	1	8	1	1	5	5527	904	186	284	0.000000	R
5	1	8	1	1	6	5897	904	217	284	4.601202	RN
5	1	8	1	1	7	6298	904	386	284	0.000000	B
5	1	8	1	1	8	7161	904	186	284	15.867176	R
5	1	8	1	1	9	7593	904	216	284	3.061590	RS
5	1	8	1	1	10	8055	904	186	284	0.525074	R
5	1	8	1	1	11	8487	904	186	284	0.000000	R
5	1	8	1	1	12	8857	904	155	284	0.000000	R
5	1	8	1	1	13	9289	904	216	284	5.891743	RS
5	1	8	1	1	14	9751	904	186	284	0.000000	N
5	1	8	1	1	15	10152	904	217	284	0.000000	R
2	1	9	0	0	0	1200	580	312	756	-1	
3	1	9	1	0	0	1200	580	312	756	-1	
4	1	9	1	1	0	1200	580	312	756	-1	
5	1	9	1	1	1	1200	580	312	756	92.600876	|
2	1	10	0	0	0	12735	1279	190	42	-1	
3	1	10	1	0	0	12735	1279	190	42	-1	
4	1	10	1	1	0	12735	1279	190	42	-1	
5	1	10	1	1	1	12735	1283	38	38	63.051949	a
5	1	10	1	1	2	12795	1279	130	42	81.132484	OUT1
2	1	11	0	0	0	1852	1244	148	192	-1	
3	1	11	1	0	0	1852	1244	148	192	-1	
4	1	11	1	1	0	1852	1244	148	192	-1	
5	1	11	1	1	1	1852	1244	148	192	77.823021	II
2	1	12	0	0	0	11388	804	500	628	-1	
3	1	12	1	0	0	11388	804	500	628	-1	
4	1	12	1	1	0	11388	804	500	628	-1	
5	1	12	1	1	1	11388	804	500	628	24.201326	I
2	1	13	0	0	0	11892	1376	108	56	-1	
3	1	13	1	0	0	11892	1376	108	56	-1	
4	1	13	1	1	0	11892	1376	108	56	-1	
5	1	13	1	1	1	11892	1376	108	56	51.616329	||
2	1	14	0	0	0	2448	1244	8424	232	-1	
3	1	14	1	0	0	2448	1244	8424	232	-1	
4	1	14	1	1	0	2448	1244	8424	232	-1	
5	1	14	1	1	1	2444	1240	159	318	0.000000	C
5	1	14	1	1	2	2682	1244	80	232	0.000000	A
5	1	14	1	1	3	2894	1244	186	232	0.000000	P
5	1	14	1	1	4	3318	1244	186	232	0.000000	P
5	1	14	1	1	5	3742	1244	186	232	15.597067	P
5	1	14	1	1	6	4166	1244	186	232	4.316940	P
5	1	14	1	1	7	4590	1244	186	232	0.000000	P
5	1	14	1	1	8	5014	1244	186	232	0.000000	P
5	1	14	1	1	9	5438	1244	186	232	6.474380	P
5	1	14	1	1	10	5862	1244	186	232	1.167688	P
5	1	14	1	1	11	6286	1244	213	232	10.407028	P
5	1	14	1	1	12	6710	1244	186	232	4.814310	P
5	1	14	1	1	13	7134	1244	213	232	17.146997	P
5	1	14	1	1	14	7558	1244	213	232	3.512058	P
5	1	14	1	1	15	7982	1244	213	232	18.319492	P
5	1	14	1	1	16	8406	1244	213	232	27.640266	P
5	1	14	1	1	17	8830	1244	213	232	34.278584	P
5	1	14	1	1	18	9254	1244	319	232	37.975174	Pl
5	1	14	1	1	19	9678	1244	186	232	31.826378	P
5	1	14	1	1	20	10102	1244	186	232	36.156712	P
5	1	14	1	1	21	10526	1244	345	232	54.190308	P
2	1	15	0	0	0	71	1479	58	42	-1	
3	1	15	1	0	0	71	1479	58	42	-1	
4	1	15	1	1	0	71	1479	58	42	-1	
5	1	15	1	1	1	71	1479	58	42	95.443451	D1
2	1	16	0	0	0	1200	1340	100	192	-1	
3	1	16	1	0	0	1200	1340	100	192	-1	
4	1	16	1	1	0	1200	1340	100	192	-1	
5	1	16	1	1	1	1200	1340	100	192	74.940948	I
2	1	17	0	0	0	12251	1083	481	442	-1	
3	1	17	1	0	0	12251	1083	481	442	-1	
4	1	17	1	1	0	12251	1083	481	442	-1	
5	1	17	1	1	1	12251	1083	481	442	13.687410	it
2	1	18	0	0	0	1304	1340	472	388	-1	
3	1	18	1	0	0	1304	1340	472	388	-1	
4	1	18	1	1	0	1304	1340	472	388	-1	
5	1	18	1	1	1	1304	1340	472	388	47.305580	i
2	1	19	0	0	0	2448	1532	8424	232	-1	
3	1	19	1	0	0	2448	1532	8424	232	-1	
4	1	19	1	1	0	2448	1532	8424	232	-1	
5	1	19	1	1	1	2444	1528	159	318	0.000000	C
5	1	19	1	1	2	2682	1532	80	232	0.000000	A
5	1	19	1	1	3	2894	1532	186	232	0.000000	P
5	1	19	1	1	4	3318	1532	186	232	0.000000	P
5	1	19	1	1	5	3742	1532	186	232	15.597067	P
5	1	19	1	1	6	4166	1532	186	232	4.316940	P
5	1	19	1	1	7	4590	1532	186	232	0.000000	P
5	1	19	1	1	8	5014	1532	186	232	0.000000	P
5	1	19	1	1	9	5438	1532	186	232	6.474380	P
5	1	19	1	1	10	5862	1532	186	232	1.167688	P
5	1	19	1	1	11	6286	1532	213	232	10.407028	P
5	1	19	1	1	12	6710	1532	186	232	4.814310	P
5	1	19	1	1	13	7134	1532	213	232	17.146997	P
5	1	19	1	1	14	7558	1532	213	232	3.512058	P
5	1	19	1	1	15	7982	1532	213	232	18.319492	P
5	1	19	1	1	16	8406	1532	213	232	27.640266	P
5	1	19	1	1	17	8830	1532	213	232	34.278584	P
5	1	19	1	1	18	9254	1532	319	232	37.975174	Pl
5	1	19	1	1	19	9678	1532	186	232	31.826378	P
5	1	19	1	1	20	10102	1532	186	232	36.156712	P
5	1	19	1	1	21	10526	1532	345	232	54.190308	P
2	1	20	0	0	0	12735	1911	198	42	-1	
3	1	20	1	0	0	12735	1911	198	42	-1	
4	1	20	1	1	0	12735	1911	198	42	-1	
5	1	20	1	1	1	12735	1915	38	38	56.199211	a
5	1	20	1	1	2	12795	1911	138	42	39.000298	oUT2
2	1	21	0	0	0	2448	1820	8424	232	-1	
3	1	21	1	0	0	2448	1820	8424	232	-1	
4	1	21	1	1	0	2448	1820	8424	232	-1	
5	1	21	1	1	1	2444	1816	159	318	0.000000	C
5	1	21	1	1	2	2682	1820	80	232	0.000000	A
5	1	21	1	1	3	2894	1820	186	232	0.000000	P
5	1	21	1	1	4	3318	1820	186	232	0.000000	P
5	1	21	1	1	5	3742	1820	186	232	15.597067	P
5	1	21	1	1	6	4166	1820	186	232	4.316940	P
5	1	21	1	1	7	4590	1820	186	232	0.000000	P
5	1	21	1	1	8	5014	1820	186	232	0.000000	P
5	1	21	1	1	9	5438	1820	186	232	6.474380	P
5	1	21	1	1	10	5862	1820	186	232	1.167688	P
5	1	21	1	1	11	6286	1820	213	232	10.407028	P
5	1	21	1	1	12	6710	1820	186	232	4.814310	P
5	1	21	1	1	13	7134	1820	213	232	17.146997	P
5	1	21	1	1	14	7558	1820	213	232	3.512058	P
5	1	21	1	1	15	7982	1820	213	232	18.319492	P
5	1	21	1	1	16	8406	1820	213	232	27.640266	P
5	1	21	1	1	17	8830	1820	213	232	34.278584	P
5	1	21	1	1	18	9254	1820	319	232	37.975174	Pl
5	1	21	1	1	19	9678	1820	186	232	31.826378	P
5	1	21	1	1	20	10102	1820	186	232	36.156712	P
5	1	21	1	1	21	10526	1820	345	232	54.190308	P
2	1	22	0	0	0	11444	1436	444	628	-1	
3	1	22	1	0	0	11444	1436	444	628	-1	
4	1	22	1	1	0	11444	1436	444	628	-1	
5	1	22	1	1	1	11444	1436	444	628	27.941160	-
2	1	23	0	0	0	11892	2008	108	56	-1	
3	1	23	1	0	0	11892	2008	108	56	-1	
4	1	23	1	1	0	11892	2008	108	56	-1	
5	1	23	1	1	1	11892	2008	108	56	51.616329	||
2	1	24	0	0	0	12251	1715	481	442	-1	
3	1	24	1	0	0	12251	1715	481	442	-1	
4	1	24	1	1	0	12251	1715	481	442	-1	
5	1	24	1	1	1	12251	1715	481	442	13.687410	it
2	1	25	0	0	0	2448	2108	8424	232	-1	
3	1	25	1	0	0	2448	2108	8424	232	-1	
4	1	25	1	1	0	2448	2108	8424	232	-1	
5	1	25	1	1	1	2444	2104	159	318	0.000000	C
5	1	25	1	1	2	2682	2108	80	232	0.000000	A
5	1	25	1	1	3	2894	2108	186	232	0.000000	P
5	1	25	1	1	4	3318	2108	186	232	0.000000	P
5	1	25	1	1	5	3742	2108	186	232	15.597067	P
5	1	25	1	1	6	4166	2108	186	232	4.316940	P
5	1	25	1	1	7	4590	2108	186	232	0.000000	P
5	1	25	1	1	8	5014	2108	186	232	0.000000	P
5	1	25	1	1	9	5438	2108	186	232	6.474380	P
5	1	25	1	1	10	5862	2108	186	232	1.167688	P
5	1	25	1	1	11	6286	2108	213	232	10.407028	P
5	1	25	1	1	12	6710	2108	186	232	4.814310	P
5	1	25	1	1	13	7134	2108	213	232	17.146997	P
5	1	25	1	1	14	7558	2108	213	232	3.512058	P
5	1	25	1	1	15	7982	2108	213	232	18.319492	P
5	1	25	1	1	16	8406	2108	213	232	27.640266	P
5	1	25	1	1	17	8830	2108	213	232	34.278584	P
5	1	25	1	1	18	9254	2108	319	232	37.975174	Pl
5	1	25	1	1	19	9678	2108	186	232	31.826378	P
5	1	25	1	1	20	10102	2108	186	232	36.156712	P
5	1	25	1	1	21	10526	2108	345	232	54.190308	P
2	1	26	0	0	0	1304	1732	240	652	-1	
3	1	26	1	0	0	1304	1732	240	652	-1	
4	1	26	1	1	0	1304	1732	240	652	-1	
5	1	26	1	1	1	1304	1732	240	652	56.036907	I
2	1	27	0	0	0	360	1536	940	896	-1	
3	1	27	1	0	0	360	1536	940	896	-1	
4	1	27	1	1	0	360	1536	940	896	-1	
5	1	27	1	1	1	360	1536	940	896	33.467590	il
2	1	28	0	0	0	71	2431	66	42	-1	
3	1	28	1	0	0	71	2431	66	42	-1	
4	1	28	1	1	0	71	2431	66	42	-1	
5	1	28	1	1	1	71	2431	66	42	95.633438	D2
2	1	29	0	0	0	1852	2396	148	192	-1	
3	1	29	1	0	0	1852	2396	148	192	-1	
4	1	29	1	1	0	1852	2396	148	192	-1	
5	1	29	1	1	1	1852	2396	148	192	77.823021	II
2	1	30	0	0	0	2448	2396	8424	232	-1	
3	1	30	1	0	0	2448	2396	8424	232	-1	
4	1	30	1	1	0	2448	2396	8424	232	-1	
5	1	30	1	1	1	2444	2392	159	318	0.000000	C
5	1	30	1	1	2	2682	2396	80	232	0.000000	A
5	1	30	1	1	3	2894	2396	186	232	0.000000	P
5	1	30	1	1	4	3318	2396	186	232	0.000000	P
5	1	30	1	1	5	3742	2396	186	232	15.597067	P
5	1	30	1	1	6	4166	2396	186	232	4.316940	P
5	1	30	1	1	7	4590	2396	186	232	0.000000	P
5	1	30	1	1	8	5014	2396	186	232	0.000000	P
5	1	30	1	1	9	5438	2396	186	232	6.474380	P
5	1	30	1	1	10	5862	2396	186	232	1.167688	P
5	1	30	1	1	11	6286	2396	213	232	10.407028	P
5	1	30	1	1	12	6710	2396	186	232	4.814310	P
5	1	30	1	1	13	7134	2396	213	232	17.146997	P
5	1	30	1	1	14	7558	2396	213	232	3.512058	P
5	1	30	1	1	15	7982	2396	213	232	18.319492	P
5	1	30	1	1	16	8406	2396	213	232	27.640266	P
5	1	30	1	1	17	8830	2396	213	232	34.278584	P
5	1	30	1	1	18	9254	2396	319	232	37.975174	Pl
5	1	30	1	1	19	9678	2396	186	232	31.826378	P
5	1	30	1	1	20	10102	2396	186	232	36.156712	P
5	1	30	1	1	21	10526	2396	345	232	54.190308	P
2	1	31	0	0	0	12735	2543	194	42	-1	
3	1	31	1	0	0	12735	2543	194	42	-1	
4	1	31	1	1	0	12735	2543	194	42	-1	
5	1	31	1	1	1	12735	2547	38	38	30.420685	o
5	1	31	1	1	2	12791	2543	138	42	51.917236	ouT3
2	1	32	0	0	0	11892	2640	108	56	-1	
3	1	32	1	0	0	11892	2640	108	56	-1	
4	1	32	1	1	0	11892	2640	108	56	-1	
5	1	32	1	1	1	11892	2640	108	56	51.616329	||
2	1	33	0	0	0	1356	2492	188	284	-1	
3	1	33	1	0	0	1356	2492	188	284	-1	
4	1	33	1	1	0	1356	2492	188	284	-1	
5	1	33	1	1	1	1356	2492	188	284	49.881355	i
2	1	34	0	0	0	12251	2347	481	442	-1	
3	1	34	1	0	0	12251	2347	481	442	-1	
4	1	34	1	1	0	12251	2347	481	442	-1	
5	1	34	1	1	1	12251	2347	481	442	13.687410	it
2	1	35	0	0	0	1356	2780	188	100	-1	
3	1	35	1	0	0	1356	2780	188	100	-1	
4	1	35	1	1	0	1356	2780	188	100	-1	
5	1	35	1	1	1	1356	2780	188	100	42.167007	|
2	1	36	0	0	0	2448	2684	8424	232	-1	
3	1	36	1	0	0	2448	2684	8424	232	-1	
4	1	36	1	1	0	2448	2684	8424	232	-1	
5	1	36	1	1	1	2444	2680	159	318	0.000000	C
5	1	36	1	1	2	2682	2684	80	232	0.000000	A
5	1	36	1	1	3	2894	2684	186	232	0.000000	P
5	1	36	1	1	4	3318	2684	186	232	0.000000	P
5	1	36	1	1	5	3742	2684	186	232	15.597067	P
5	1	36	1	1	6	4166	2684	186	232	4.316940	P
5	1	36	1	1	7	4590	2684	186	232	0.000000	P
5	1	36	1	1	8	5014	2684	186	232	0.000000	P
5	1	36	1	1	9	5438	2684	186	232	6.474380	P
5	1	36	1	1	10	5862	2684	186	232	1.167688	P
5	1	36	1	1	11	6286	2684	213	232	10.407028	P
5	1	36	1	1	12	6710	2684	186	232	4.814310	P
5	1	36	1	1	13	7134	2684	213	232	17.146997	P
5	1	36	1	1	14	7558	2684	213	232	3.512058	P
5	1	36	1	1	15	7982	2684	213	232	18.319492	P
5	1	36	1	1	16	8406	2684	213	232	27.640266	P
5	1	36	1	1	17	8830	2684	213	232	34.278584	P
5	1	36	1	1	18	9254	2684	319	232	37.975174	Pl
5	1	36	1	1	19	9678	2684	186	232	31.826378	P
5	1	36	1	1	20	10102	2684	186	232	36.156712	P
5	1	36	1	1	21	10526	2684	345	232	54.190308	P
2	1	37	0	0	0	1812	2972	136	236	-1	
3	1	37	1	0	0	1812	2972	136	236	-1	
4	1	37	1	1	0	1812	2972	136	236	-1	
5	1	37	1	1	1	1812	2972	136	236	43.659843	i
2	1	38	0	0	0	2448	2972	8424	232	-1	
3	1	38	1	0	0	2448	2972	8424	232	-1	
4	1	38	1	1	0	2448	2972	8424	232	-1	
5	1	38	1	1	1	2444	2968	159	318	0.000000	C
5	1	38	1	1	2	2682	2972	80	232	0.000000	A
5	1	38	1	1	3	2894	2972	186	232	0.000000	P
5	1	38	1	1	4	3318	2972	186	232	0.000000	P
5	1	38	1	1	5	3742	2972	186	232	15.597067	P
5	1	38	1	1	6	4166	2972	186	232	4.316940	P
5	1	38	1	1	7	4590	2972	186	232	0.000000	P
5	1	38	1	1	8	5014	2972	186	232	0.000000	P
5	1	38	1	1	9	5438	2972	186	232	6.474380	P
5	1	38	1	1	10	5862	2972	186	232	1.167688	P
5	1	38	1	1	11	6286	2972	213	232	10.407028	P
5	1	38	1	1	12	6710	2972	186	232	4.814310	P
5	1	38	1	1	13	7134	2972	213	232	17.146997	P
5	1	38	1	1	14	7558	2972	213	232	3.512058	P
5	1	38	1	1	15	7982	2972	213	232	18.319492	P
5	1	38	1	1	16	8406	2972	213	232	27.640266	P
5	1	38	1	1	17	8830	2972	213	232	34.278584	P
5	1	38	1	1	18	9254	2972	319	232	37.975174	Pl
5	1	38	1	1	19	9678	2972	186	232	31.826378	P
5	1	38	1	1	20	10102	2972	186	232	36.156712	P
5	1	38	1	1	21	10526	2972	345	232	54.190308	P
2	1	39	0	0	0	71	3383	66	42	-1	
3	1	39	1	0	0	71	3383	66	42	-1	
4	1	39	1	1	0	71	3383	66	42	-1	
5	1	39	1	1	1	71	3383	66	42	96.502197	D3
2	1	40	0	0	0	2448	3260	8424	232	-1	
3	1	40	1	0	0	2448	3260	8424	232	-1	
4	1	40	1	1	0	2448	3260	8424	232	-1	
5	1	40	1	1	1	2444	3256	159	318	0.000000	C
5	1	40	1	1	2	2682	3260	80	232	0.000000	A
5	1	40	1	1	3	2894	3260	186	232	0.000000	P
5	1	40	1	1	4	3318	3260	186	232	0.000000	P
5	1	40	1	1	5	3742	3260	186	232	15.597067	P
5	1	40	1	1	6	4166	3260	186	232	4.316940	P
5	1	40	1	1	7	4590	3260	186	232	0.000000	P
5	1	40	1	1	8	5014	3260	186	232	0.000000	P
5	1	40	1	1	9	5438	3260	186	232	6.474380	P
5	1	40	1	1	10	5862	3260	186	232	1.167688	P
5	1	40	1	1	11	6286	3260	213	232	10.407028	P
5	1	40	1	1	12	6710	3260	186	232	4.814310	P
5	1	40	1	1	13	7134	3260	213	232	17.146997	P
5	1	40	1	1	14	7558	3260	213	232	3.512058	P
5	1	40	1	1	15	7982	3260	213	232	18.319492	P
5	1	40	1	1	16	8406	3260	213	232	27.640266	P
5	1	40	1	1	17	8830	3260	213	232	34.278584	P
5	1	40	1	1	18	9254	3260	319	232	37.975174	Pl
5	1	40	1	1	19	9678	3260	186	232	31.826378	P
