level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	11456	5440	-1	
2	1	1	0	0	0	71	127	110	90	-1	
3	1	1	1	0	0	71	127	110	90	-1	
4	1	1	1	1	0	71	127	110	90	-1	
5	1	1	1	1	1	71	127	110	90	25.032352	o
2	1	2	0	0	0	10088	160	948	32	-1	
3	1	2	1	0	0	10088	160	948	32	-1	
4	1	2	1	1	0	10088	160	948	32	-1	
5	1	2	1	1	1	10088	160	34	32	2.807255	I
5	1	2	1	1	2	10159	160	92	32	28.901745	I
5	1	2	1	1	3	10346	160	88	32	8.851662	A
5	1	2	1	1	4	10529	160	93	32	5.795650	I
5	1	2	1	1	5	10721	160	138	32	13.835344	R
5	1	2	1	1	6	11008	160	28	32	57.332558	.
2	1	3	0	0	0	10152	52	884	104	-1	
3	1	3	1	0	0	10152	52	884	104	-1	
4	1	3	1	1	0	10152	52	884	104	-1	
5	1	3	1	1	1	10152	88	98	68	26.663876	I
5	1	3	1	1	2	10361	88	80	68	6.316051	B
5	1	3	1	1	3	10528	52	508	104	35.824722	|
2	1	4	0	0	0	71	235	110	42	-1	
3	1	4	1	0	0	71	235	110	42	-1	
4	1	4	1	1	0	71	235	110	42	-1	
5	1	4	1	1	1	71	235	110	42	67.162460	VDD
2	1	5	0	0	0	10088	196	436	32	-1	
3	1	5	1	0	0	10088	196	436	32	-1	
4	1	5	1	1	0	10088	196	436	32	-1	
5	1	5	1	1	1	10088	196	34	32	6.162138	1
5	1	5	1	1	2	10159	196	92	32	21.261517	I
2	1	6	0	0	0	10088	232	948	32	-1	
3	1	6	1	0	0	10088	232	948	32	-1	
4	1	6	1	1	0	10088	232	948	32	-1	
5	1	6	1	1	1	10088	232	34	32	2.807255	I
5	1	6	1	1	2	10159	232	92	32	28.901745	I
5	1	6	1	1	3	10346	232	88	32	8.851662	A
5	1	6	1	1	4	10529	232	93	32	5.795650	I
5	1	6	1	1	5	10721	232	138	32	13.835344	R
5	1	6	1	1	6	11008	232	28	32	57.332558	.
2	1	7	0	0	0	10716	196	320	32	-1	
3	1	7	1	0	0	10716	196	320	32	-1	
4	1	7	1	1	0	10716	196	320	32	-1	
5	1	7	1	1	1	10716	196	320	32	51.290436	I
2	1	8	0	0	0	71	391	114	42	-1	
3	1	8	1	0	0	71	391	114	42	-1	
4	1	8	1	1	0	71	391	114	42	-1	
5	1	8	1	1	1	71	391	114	42	90.447144	GND
2	1	9	0	0	0	71	451	110	102	-1	
3	1	9	1	0	0	71	451	110	102	-1	
4	1	9	1	1	0	71	451	110	102	-1	
