idx	x	y	expected	expected_kind	expected_norm	ocr_norm	score	ok	reason	best_conf	best_dist_px	region_tokens_total	region_tokens_confident	region_max_similarity	region_ocr_calls
0	514	66	Q0	label	Q0		0.000	0	ocr_no_tokens			0	0		1
1	644	66	Q1	label	Q1		0.000	0	ocr_no_tokens			0	0		1
2	774	66	Q2	label	Q2		0.000	0	ocr_no_tokens			0	0		1
3	904	66	Q3	label	Q3		0.000	0	ocr_no_tokens			0	0		1
4	1034	66	Q4	label	Q4		0.000	0	ocr_no_tokens			0	0		1
5	24	173	CLOCK	label	CLOCK		0.000	0	ocr_no_tokens			0	0		1
6	24	441	DATA	label	DATA		0.000	0	ocr_no_tokens			0	0		1
7	514	446	Q5	label	Q5		0.000	0	ocr_no_tokens			0	0		1
8	644	446	Q6	label	Q6		0.000	0	ocr_no_tokens			0	0		1
9	774	446	Q7	label	Q7		0.000	0	ocr_low_conf			1	0	0.000	1
10	904	446	Q8	label	Q8		0.000	0	ocr_low_conf			1	0	0.000	1
11	1034	446	Q9	label	Q9		0.000	0	ocr_no_tokens			0	0		1
12	24	546	EN	label	EN		0.000	0	ocr_no_tokens			0	0		1
13	24	670	OUT	label	OUT		0.000	0	ocr_no_tokens			0	0		1
